marker_compound,smiles,formula_verified,verification_strength,source_files,compound_type,temperament,notes
plantamajoside,C1=CC(=C(C=C1CCOC2C(C(C(C(O2)CO)OC(=O)C=CC3=CC(=C(C=C3)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,C29H36O16,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
platycodin D,CC1C(C(C(C(O1)OC2C(C(COC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4O)C)(CCC7C6(CC(C(C7(CO)CO)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)OC9C(C(C(CO9)O)OC1C(C(CO1)(CO)O)O)O,C57H92O28,weak (PubChem self-reported formula),batch2.csv,Saponins,Hot-Wet,
praeruptorin A,CC=C(C)C(=O)OC1C(C2=C(C=CC3=C2OC(=O)C=C3)OC1(C)C)OC(=O)C,C21H22O7,weak (PubChem self-reported formula),batch2.csv,Unknown,Unknown,
prim-O-glucosylcimifugin,CC(C)(C1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)COC4C(C(C(C(O4)CO)O)O)O)O,C22H28O11,weak (PubChem self-reported formula),batch2.csv,Unknown,Unknown,
puerarin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O9,weak (PubChem self-reported formula),batch1.csv,Flavonoids,Cold-NS,
purpurin,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,C14H8O5,weak (PubChem self-reported formula),batch2.csv,Phenols,Hot-Temperate,
resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,C14H12O3,weak (PubChem self-reported formula),batch2.csv,Phenols,Hot-Temperate,
rhynchophylline,CCC1CN2CCC3(C2CC1C(=COC)C(=O)OC)C4=CC=CC=C4NC3=O,C22H28N2O4,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
rosmarinic acid,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,C18H16O8,,tcm_verified.csv,Phenolic acid esters,Cold-Dry,
rutin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,,tcm_verified.csv,Flavonoids,Cold-NS,
saikosaponin A,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O,C42H68O13,weak (PubChem self-reported formula),batch1.csv,Saponins,Hot-Wet,
